longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"New York City Department Of Education, New York, USA",0.3089286016496507,0.2828598094515926,0.2018222734757303,0.1560049917272128,0.002174652071002288,0.0003750496781807978,0.0478346219466305
"Los Angeles Unified School District, California, USA",0.2590551701553631,0.5040428086663694,0.08551958622652603,0.1110970926441013,0.0016735322467681753,0.0015566239732579322,0.03705518608761403
"Puerto Rico Department of Education, Puerto Rico, USA",0.00744307644724457,0.988822904096645,0.001303223323953129,0.0008347204751879187,9.467471472773257e-05,2.7702247717760977e-05,0.0014736986945239657
"Chicago Public School District 299, Illinois, USA",0.3143042448533431,0.298536345418109,0.2868894151940244,0.06902167972308253,0.0012140644926216069,0.00019274913463290216,0.029841501184186554
"Dade County School District, Florida, USA",0.13368759049718054,0.6873846513819991,0.14022356482717283,0.015426957876767228,0.000588289521375198,0.0001425371087032418,0.022546408786801878
"Clark County School District, Nevada, USA",0.39409285792163273,0.3096129220498609,0.12138897999126888,0.10239505336882869,0.0037462573842586564,0.008332520400925022,0.060431408883225096
"Broward County School District, Florida, USA",0.33133011893281905,0.31305843780135006,0.26621305046608806,0.03807907425265188,0.0015002250080360013,0.0003579556412729026,0.04946113789778206
"Philadelphia City School District, Pennsylvania, USA",0.3434348219606396,0.14861193877271153,0.3826699296619234,0.0826073459780633,0.0016181996344713924,0.0003609158660858768,0.04069684812610488
"Palm Beach County School District, Florida, USA",0.522559779545648,0.23450952324467847,0.1713748441050777,0.02905526169237048,0.0010293588421321398,0.0003310568151128106,0.041140175754980426
"Houston Independent School District, Texas, USA",0.24141444196824663,0.4309272382432895,0.23139090122129854,0.06634051025867833,0.0014917911006665492,0.00034342906840310883,0.028091688139417356
"Hillsborough County School District, Florida, USA",0.4573539186864845,0.29284994757724647,0.15382274941923813,0.04789657984362258,0.0019303908064880867,0.0006263319833617718,0.04552008168355844
"Hawaii Department of Education, Hawaii, USA",0.21590111791945368,0.09544619101207066,0.01503743365534623,0.36550435694180383,0.0015937849951711822,0.10237024787930982,0.2041468675968446
"Orange County School District, Florida, USA",0.37160572568305095,0.330807996038906,0.18436430875273094,0.05375870335713906,0.0015434559426200846,0.0007790711010778315,0.05714073912447514
"Fairfax County Public Schools, Virginia, USA",0.4711862049179972,0.1731957418507909,0.09418438359856207,0.2033009784701786,0.0012492773404389423,0.0006711496915928069,0.05621226413043951
"Wake County Schools, North Carolina, USA",0.5711123506963813,0.11354689616702526,0.18109898088382428,0.08558893581604554,0.002443753818365341,0.00040109437670996363,0.04580798824164829
